statisticalAreaCode,statisticalArea,area
FRK21,Ain,5762.00
FRE21,Aisne,7362.00
FRK11,Allier,7340.00
FRL01,Alpes-de-Haute-Provence,6925.00
FRL02,Hautes-Alpes,5549.00
FRL03,Alpes-Maritimes,4299.00
FRK22,Ardèche,5529.00
FRF21,Ardennes,5229.00
FRJ21,Ariège,4890.00
FRF22,Aube,6004.00
FRJ11,Aude,6139.00
FRJ22,Aveyron,8735.00
FRL04,Bouches-du-Rhône,5087.00
FRD11,Calvados,5535.00
FRK12,Cantal,5726.00
FRI31,Charente,5956.00
FRI32,Charente-Maritime,6864.00
FRB01,Cher,7235.00
FRI21,Corrèze,5857.00
FRC11,Corse-du-Sud,4014.00
FRH01,Haute-Corse,4666.00
FRI22,Côte-d'Or,8763.00
FRI11,Côtes-d'Armor,6878.00
FRC21,Creuse,5565.00
FRK23,Dordogne,9060.00
FRD21,Doubs,5233.00
FRB02,Drôme,6530.00
FRH02,Eure,6040.00
FRM01,Eure-et-Loir,5880.00
FRM02,Finistère,6733.00
FRJ12,Gard,5853.00
FRJ23,Haute-Garonne,6309.00
FRJ24,Gers,6257.00
FRI12,Gironde,9976.00
FRJ13,Hérault,6101.00
FRH03,Ille-et-Vilaine,6775.00
FRB03,Indre,6791.00
FRB04,Indre-et-Loire,6127.00
FRK24,Isère,7432.00
FRC22,Jura,4999.00
FRI13,Landes,9243.00
FRB05,Loir-et-Cher,6343.00
FRK25,Loire,4781.00
FRK13,Haute-Loire,4977.00
FRG01,Loire-Atlantique,6874.00
FRB06,Loiret,6775.00
FRJ25,Lot,5217.00
FRI14,Lot-et-Garonne,5361.00
FRJ14,Lozère,5167.00
FRG02,Maine-et-Loire,7107.00
FRD12,Manche,5952.00
FRF23,Marne,8169.00
FRF24,Haute-Marne,6211.00
FRG03,Mayenne,5175.00
FRF31,Meurthe-et-Moselle,5246.00
FRF32,Meuse,6211.00
FRH04,Morbihan,6823.00
FRF33,Moselle,6216.00
FRC12,Nièvre,6817.00
FRE11,Nord,5743.00
FRE22,Oise,5860.00
FRD13,Orne,6103.00
FRE12,Pas-de-Calais,6671.00
FRK14,Puy-de-Dôme,7970.00
FRI15,Pyrénées-Atlantiques,7645.00
FRJ26,Hautes-Pyrénées,4464.00
FRJ15,Pyrénées-Orientales,4116.00
FRF11,Bas-Rhin,4755.00
FRF12,Haut-Rhin,3525.00
FRK26,Circonscription départementale du Rhône,3249.00
FRC23,Haute-Saône,5360.00
FRC13,Saône-et-Loire,8575.00
FRG04,Sarthe,6206.00
FRK27,Savoie,6028.00
FRK28,Haute-Savoie,4388.00
FR101,Paris,105
FRD22,Seine-Maritime,6278.00
FR102,Seine-et-Marne,5915.00
FR103,Yvelines,2284.00
FRI33,Deux-Sèvres,5999.00
FRE23,Somme,6170.00
FRJ27,Tarn,5758.00
FRJ28,Tarn-et-Garonne,3718.00
FRL05,Var,5973.00
FRL06,Vaucluse,3567.00
FRG05,Vendée,6720.00
FRI34,Vienne,6990.00
FRI23,Haute-Vienne,5520.00
FRF34,Vosges,5874.00
FRC14,Yonne,7427.00
FRC24,Territoire de Belfort,609
FR104,Essonne,1804.00
FR105,Hauts-de-Seine,176
FR106,Seine-Saint-Denis,236
FR107,Val-de-Marne,245
FR108,Val-d'Oise,1246.00
FRY10,Guadeloupe,1628.00
FRY20,Martinique,1128.00
FRY30,Guyane,83534.00
FRY40,La Réunion,2504.00
FRY50,Mayotte,376
