origin_country,destination_country,distance
AUS,AUS,1042.817
AUS,AUT,15988.95
AUS,BEL,16759.6
AUS,CAN,15586.66
AUS,CHE,16673.2
AUS,CZE,16097.52
AUS,DNK,16054.1
AUS,FRA,16975.46
AUS,GBR,17011.27
AUS,HUN,15795.78
AUS,ITA,16333.25
AUS,JPN,7831.446
AUS,NLD,16658.11
AUS,POL,15607.68
AUS,RUS,14503.07
AUS,SWE,15608.91
AUS,USA,16008.79
AUT,AUS,15988.95
AUT,AUT,108.9196
AUT,BEL,914.4633
AUT,CAN,6922.538
AUT,CHE,684.8875
AUT,CZE,252.4479
AUT,DNK,868.5304
AUT,FRA,1035.144
AUT,GBR,1238.199
AUT,HUN,215.6626
AUT,ITA,767.4132
AUT,JPN,9141.063
AUT,NLD,934.7828
AUT,POL,556.8245
AUT,RUS,1675.699
AUT,SWE,1242.31
AUT,USA,6798.701
BEL,AUS,16759.6
BEL,AUT,914.4633
BEL,BEL,68.44467
BEL,CAN,6031.534
BEL,CHE,487.4555
BEL,CZE,718.4293
BEL,DNK,767.1575
BEL,FRA,262.3845
BEL,GBR,323.7796
BEL,HUN,1129.979
BEL,ITA,1174.904
BEL,JPN,9463.263
BEL,NLD,173.0333
BEL,POL,1160.644
BEL,RUS,2261.25
BEL,SWE,1283.716
BEL,USA,5891.711
CAN,AUS,15586.66
CAN,AUT,6922.538
CAN,BEL,6031.534
CAN,CAN,1187.996
CAN,CHE,6440.717
CAN,CZE,6687.748
CAN,DNK,6257.225
CAN,FRA,6004.645
CAN,GBR,5715.747
CAN,HUN,7131.152
CAN,ITA,7089.198
CAN,JPN,10358.49
CAN,NLD,5988.239
CAN,POL,6925.886
CAN,RUS,7495.521
CAN,SWE,6335.357
CAN,USA,548.3946
CHE,AUS,16673.2
CHE,AUT,684.8875
CHE,BEL,487.4555
CHE,CAN,6440.717
CHE,CHE,76.42681
CHE,CZE,623.4171
CHE,DNK,1033.508
CHE,FRA,436.0778
CHE,GBR,748.7117
CHE,HUN,879.3594
CHE,ITA,692.6592
CHE,JPN,9680.594
CHE,NLD,628.025
CHE,POL,1139.992
CHE,RUS,2296.397
CHE,SWE,1546.508
CHE,USA,6272.285
CZE,AUS,16097.52
CZE,AUT,252.4479
CZE,BEL,718.4293
CZE,CAN,6687.748
CZE,CHE,623.4171
CZE,CZE,105.6266
CZE,DNK,631.8411
CZE,FRA,884.6105
CZE,GBR,1036.988
CZE,HUN,445.1513
CZE,ITA,926.5591
CZE,JPN,9082.237
CZE,NLD,709.4576
CZE,POL,516.6628
CZE,RUS,1673
CZE,SWE,1053.71
CZE,USA,6573.925
DNK,AUS,16054.1
DNK,AUT,868.5304
DNK,BEL,767.1575
DNK,CAN,6257.225
DNK,CHE,1033.508
DNK,CZE,631.8411
DNK,DNK,78.08043
DNK,FRA,1027.609
DNK,GBR,959.5936
DNK,HUN,1011.98
DNK,ITA,1534.086
DNK,JPN,8702.536
DNK,NLD,622.9741
DNK,POL,668.9079
DNK,RUS,1566.362
DNK,SWE,523.7871
DNK,USA,6191.893
FRA,AUS,16975.46
FRA,AUT,1035.144
FRA,BEL,262.3845
FRA,CAN,6004.645
FRA,CHE,436.0778
FRA,CZE,884.6105
FRA,DNK,1027.609
FRA,FRA,278.1876
FRA,GBR,342.9475
FRA,HUN,1247.24
FRA,ITA,1109.901
FRA,JPN,9725.629
FRA,NLD,427.9169
FRA,POL,1368.178
FRA,RUS,2494.316
FRA,SWE,1545.797
FRA,USA,5838.157
GBR,AUS,17011.27
GBR,AUT,1238.199
GBR,BEL,323.7796
GBR,CAN,5715.747
GBR,CHE,748.7117
GBR,CZE,1036.988
GBR,DNK,959.5936
GBR,FRA,342.9475
GBR,GBR,185.8346
GBR,HUN,1453.666
GBR,ITA,1438.425
GBR,JPN,9574.237
GBR,NLD,360.315
GBR,POL,1451.644
GBR,RUS,2510.88
GBR,SWE,1437.571
GBR,USA,5570.161
HUN,AUS,15795.78
HUN,AUT,215.6626
HUN,BEL,1129.979
HUN,CAN,7131.152
HUN,CHE,879.3594
HUN,CZE,445.1513
HUN,DNK,1011.98
HUN,FRA,1247.24
HUN,GBR,1453.666
HUN,HUN,114.7229
HUN,ITA,811.4083
HUN,JPN,9058.923
HUN,NLD,1145.901
HUN,POL,546.806
HUN,RUS,1574.19
HUN,SWE,1318.564
HUN,USA,7011.543
ITA,AUS,16333.25
ITA,AUT,767.4132
ITA,BEL,1174.904
ITA,CAN,7089.198
ITA,CHE,692.6592
ITA,CZE,926.5591
ITA,DNK,1534.086
ITA,FRA,1109.901
ITA,GBR,1438.425
ITA,HUN,811.4083
ITA,ITA,206.4667
ITA,JPN,9869.275
ITA,NLD,1297.695
ITA,POL,1319.479
ITA,RUS,2383.171
ITA,SWE,1980.122
ITA,USA,6895.107
JPN,AUS,7831.446
JPN,AUT,9141.063
JPN,BEL,9463.263
JPN,CAN,10358.49
JPN,CHE,9680.594
JPN,CZE,9082.237
JPN,DNK,8702.536
JPN,FRA,9725.629
JPN,GBR,9574.237
JPN,HUN,9058.923
JPN,ITA,9869.275
JPN,JPN,231.188
JPN,NLD,9303.377
JPN,POL,8590.702
JPN,RUS,7486.303
JPN,SWE,8180.65
JPN,USA,10855.59
NLD,AUS,16658.11
NLD,AUT,934.7828
NLD,BEL,173.0333
NLD,CAN,5988.239
NLD,CHE,628.025
NLD,CZE,709.4576
NLD,DNK,622.9741
NLD,FRA,427.9169
NLD,GBR,360.315
NLD,HUN,1145.901
NLD,ITA,1297.695
NLD,JPN,9303.377
NLD,NLD,76.95715
NLD,POL,1093.599
NLD,RUS,2155.229
NLD,SWE,1128.93
NLD,USA,5866.046
POL,AUS,15607.68
POL,AUT,556.8245
POL,BEL,1160.644
POL,CAN,6925.886
POL,CHE,1139.992
POL,CZE,516.6628
POL,DNK,668.9079
POL,FRA,1368.178
POL,GBR,1451.644
POL,HUN,546.806
POL,ITA,1319.479
POL,JPN,8590.702
POL,NLD,1093.599
POL,POL,210.3233
POL,RUS,1156.427
POL,SWE,809.0182
POL,USA,6855.422
RUS,AUS,14503.07
RUS,AUT,1675.699
RUS,BEL,2261.25
RUS,CAN,7495.521
RUS,CHE,2296.397
RUS,CZE,1673
RUS,DNK,1566.362
RUS,FRA,2494.316
RUS,GBR,2510.88
RUS,HUN,1574.19
RUS,ITA,2383.171
RUS,JPN,7486.303
RUS,NLD,2155.229
RUS,POL,1156.427
RUS,RUS,1554.244
RUS,SWE,1232.383
RUS,USA,7517.972
SWE,AUS,15608.91
SWE,AUT,1242.31
SWE,BEL,1283.716
SWE,CAN,6335.357
SWE,CHE,1546.508
SWE,CZE,1053.71
SWE,DNK,523.7871
SWE,FRA,1545.797
SWE,GBR,1437.571
SWE,HUN,1318.564
SWE,ITA,1980.122
SWE,JPN,8180.65
SWE,NLD,1128.93
SWE,POL,809.0182
SWE,RUS,1232.383
SWE,SWE,252.3032
SWE,USA,6322.853
USA,AUS,16008.79
USA,AUT,6798.701
USA,BEL,5891.711
USA,CAN,548.3946
USA,CHE,6272.285
USA,CZE,6573.925
USA,DNK,6191.893
USA,FRA,5838.157
USA,GBR,5570.161
USA,HUN,7011.543
USA,ITA,6895.107
USA,JPN,10855.59
USA,NLD,5866.046
USA,POL,6855.422
USA,RUS,7517.972
USA,SWE,6322.853
USA,USA,1161.074
